"File","Line","Rule","Msg"
"packages/core-app-model/src/navigation/CameraFramingUtils.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/core-app-model/src/navigation/FirstPersonController.ts","35","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/core-app-model/src/navigation/MultiViewCameraManager.ts","39","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/core-app-model/src/navigation/ViewNavigationManager.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/core-app-model/src/presentation/VGSceneApplicator.ts","38","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/core-app-model/src/rendering/PhotorealisticRenderer.ts","203","pryzm/no-three-outside-committer","`three/examples/jsm/postprocessing/Pass.js` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/core-app-model/src/rendering/PhotorealisticRenderer.ts","296","no-empty","Empty block statement"
"packages/core-app-model/src/rendering/PhotorealisticRenderer.ts","297","no-empty","Empty block statement"
"packages/core-app-model/src/rendering/PhotorealisticRenderer.ts","343","pryzm/no-three-outside-committer","`three/examples/jsm/postprocessing/Pass.js` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/core-app-model/src/rendering/ViewportPathTracer.ts","277","pryzm/no-three-outside-committer","`three/examples/jsm/postprocessing/Pass.js` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/core-app-model/src/rendering/ViewportPathTracer.ts","433","no-empty","Empty block statement"
"packages/core-app-model/src/rendering/ViewportPathTracer.ts","434","no-empty","Empty block statement"
"packages/core-app-model/src/rendering/ViewportPathTracer.ts","435","no-empty","Empty block statement"
"packages/core-app-model/src/views/ActivePlanDrawingRef.ts","37","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/core-app-model/src/views/GroundFloorPlanController.ts","21","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/core-app-model/src/views/OrthoPlanCameraLockController.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/core-app-model/src/views/PlanView2DSnapService.ts","28","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/core-app-model/src/views/PlanViewService.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/core-app-model/src/views/TechnicalDrawingBounds.ts","24","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/core-app-model/src/views/ViewCameraStateStore.ts","1","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/core-app-model/src/views/ViewTechnicalDrawingCache.ts","21","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/file-format/src/export/ifc/ExportIFC.ts","20","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/file-format/src/export/ifc/ExportIFC.ts","158","no-empty","Empty block statement"
"packages/file-format/src/export/sheets/AnnotationDxfBridge.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/file-format/src/export/sheets/AnnotationDxfBridge.ts","265","no-empty","Empty block statement"
"packages/file-format/src/export/sheets/DxfExportService.ts","55","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/file-format/src/import/ifc/IfcImporter.ts","228","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","243","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","269","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","295","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","337","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","345","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","420","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","534","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","536","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","554","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","556","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","580","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","582","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","633","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","640","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcImporter.ts","642","no-empty","Empty block statement"
"packages/file-format/src/import/ifc/IfcLevelImporter.ts","85","no-empty","Empty block statement"
"packages/file-format/src/import/rhino/RhinoImporter.ts","51","pryzm/no-three-outside-committer","`three/examples/jsm/loaders/3DMLoader.js` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/geometry-column/src/ColumnPlanSymbolBuilder.ts","35","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-column/src/ColumnTool.ts","17","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-curtain-wall/src/CurtainWallTool.ts","43","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-door/src/DoorPlanSymbolBuilder.ts","27","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-door/src/DoorTool.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-furniture/src/FurnitureTool.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-furniture/src/builders/BedPlanSymbolBuilder.ts","41","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-furniture/src/builders/ChairPlanSymbolBuilder.ts","41","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-furniture/src/builders/KitchenPlanSymbolBuilder.ts","37","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-furniture/src/builders/SofaPlanSymbolBuilder.ts","40","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
