cd,municipio,n,NM_ALTURA,NM_N_PLTA,NM_OCP_MX,NM_FDO_MX_ED,NM_RTR_FRNT,NM_RTR_LATL,NM_RTR_POST,NM_C_ED_ORD,NM_APRV_BC,footprintAny,heightAndFootprint
019,"BELMONTE DE TAJO",280,61.79,68.93,81.79,10.36,52.86,76.07,86.43,50.00,0.00,86.43,61.79
089,"MORALEJA DE ENMEDIO",271,79.34,67.90,67.90,8.12,59.41,59.41,67.53,54.98,0.00,70.11,67.90
167,"VELILLA DE SAN ANTONIO",271,46.86,63.84,46.86,16.97,44.65,44.65,44.65,46.86,0.00,63.84,63.84
072,"HOYO DE MANZANARES",270,67.78,79.26,70.74,8.52,43.33,42.96,42.96,70.74,0.00,79.26,79.26
177,"VILLANUEVA DEL PARDILLO",266,89.47,76.32,60.90,14.66,32.71,39.85,48.12,54.51,0.00,82.71,75.56
119,"QUIJORNA",266,68.42,68.42,64.66,0.00,62.78,59.02,59.02,55.64,0.00,71.43,64.66
154,"TORRES DE LA ALAMEDA",257,79.38,79.38,33.85,0.00,49.03,42.80,45.91,19.84,0.00,50.19,33.85
032,"CAMARMA DE ESTERUELAS",252,100.00,72.22,73.41,26.59,63.10,52.38,52.38,52.38,0.00,100.00,100.00
030,"LA CABRERA",245,100.00,100.00,100.00,18.78,83.67,83.27,100.00,77.55,0.00,100.00,100.00
017,"BATRES",240,100.00,68.33,59.58,12.92,75.83,54.17,54.17,64.58,0.00,99.58,67.92
183,"ZARZALEJO",237,95.36,81.43,81.01,0.00,13.92,44.73,44.73,0.00,0.00,81.01,81.01
107,"PATONES",234,40.60,40.60,40.60,6.84,23.93,41.03,41.03,40.60,0.00,41.03,40.60
164,"VALDETORRES DE JARAMA",233,100.00,100.00,86.27,0.00,51.50,51.50,51.50,1.29,0.00,86.27,86.27
053,"DAGANZO DE ARRIBA",232,84.91,98.28,55.17,4.31,3.88,60.78,60.78,71.55,0.00,69.40,58.19
060,"FUENTIDUEÑA DE TAJO",231,100.00,90.48,77.06,0.00,57.58,42.42,71.00,13.42,0.00,90.48,77.06
156,"VALDEAVERO",228,38.60,76.32,25.88,0.00,15.79,14.47,9.21,14.47,0.00,31.14,24.56
901,"LOZOYUELA-NAVAS-SIETEIGLESIAS",226,100.00,100.00,62.39,4.42,57.96,62.39,62.39,61.95,0.00,62.39,62.39
182,"VILLAVIEJA DEL LOZOYA",223,89.24,88.79,55.61,6.28,59.64,76.68,56.95,25.11,0.00,90.58,54.71
153,"TORREMOCHA DE JARAMA",222,83.33,81.08,47.30,14.41,43.69,45.05,45.05,55.86,0.00,65.77,61.71
087,"LOS MOLINOS",219,80.37,71.23,69.41,0.00,68.49,66.21,67.58,52.97,0.00,69.41,69.41
178,"VILLANUEVA DE PERALES",216,49.54,49.54,38.43,11.11,32.87,38.43,49.54,38.43,0.00,49.54,49.54
041,"COBEÑA",211,98.10,80.09,80.09,21.33,64.93,86.26,86.26,93.84,0.00,100.00,80.09
056,"FRESNEDILLAS DE LA OLIVA",211,99.53,100.00,98.58,14.69,68.25,24.64,99.53,75.36,0.00,99.53,98.58
